"MsgType","Ord","FieldName","VarName","FieldType","Note","Width","viewable"
"F",1,"F","f","string","fundamental data type",,False
"F",2,"Symbol","symbol","string","",54,True
"F",3,"Exchange ID","exchangeid","string","",37,True
"F",4,"PE","pe","float","",41,True
"F",5,"Ave Vol","avevol","integer","",61,True
"F",6,"52 Wk Hi","hi52wk","float","",63,True
"F",7,"52 Wk Lo","lo52wk","float","",62,True
"F",8,"Cal Yr Hi","hicalyr","float","",51,True
"F",9,"Cal Yr Lo","localyr","float","",55,True
"F",10,"Div Yield","divyield","float","",46,True
"F",11,"Div Amt","divamt","float","",47,True
"F",12,"Div Rate","divrate","float","",52,True
"F",13,"Pay Date","divpaydate","date","mm/dd/yy",59,True
"F",14,"Ex Div Date","exdivdate","date","",,False
"F",15,"reserved","","reserved","",,False
"F",16,"reserved","","reserved","",,False
"F",17,"reserved","","reserved","",,False
"F",18,"12 Mon EPS","eps12mon","float","",,False
"F",19,"reserved","","reserved","",,False
"F",20,"Cur Yr EPS","epscuryr","float","",56,True
"F",21,"Nxt Yr EPS","epsnxtyr","float","",56,True
"F",22,"5 Yr Grth","grth5yr","float","percentage",57,True
"F",23,"Fiscal Yr End","fsclyrend","smallint","",39,True
"F",24,"reserved","","reserved","",,False
"F",25,"Company Name","name","string","",133,True
"F",26,"Root Option Sym","rootopsym","string","",,False
"F",27,"% Instituional","pcntinst","float","",38,True
"F",28,"Beta","beta","float","",37,True
"F",29,"Leaps","leaps","string","",,False
"F",30,"Cur Assets","curassets","float","",63,True
"F",31,"Cur Liability","curliable","float","",63,True
"F",32,"Bal Sht Date","datebalsht","date","mm/dd/yy",64,True
"F",33,"Long Term Debt","debtlong","float","",57,True
"F",34,"Shares Out","shareout","float","",56,True
"F",35,"reserved","","reserved","",,False
"F",36,"Split 1","split1","string","float mm/dd/yy",87,True
"F",37,"Split 2","split2","string","float mm/dd/yy",92,True
"F",38,"reserved","","reserved","",,False
"F",39,"unknown","","unknown","",,False
"F",40,"Format Code","fmtcode","smallint","Price Format Code",36,True
"F",41,"Precision","numdecdig","smallint","num dec digis",28,True
"F",42,"SIC","sic","integer","",37,True
"F",43,"Hist Volatility","histvol","float","daily, period=20",71,True
"F",44,"Security Type","sectype","smallint","see security types",69,True
"F",45,"Listed Market","listmkt","smallint","see Market Codes",72,True
"F",46,"52 Week Hi Date","hi52wkdt","date","",70,True
"F",47,"52 Week Lo Date","lo52wkdt","date","",70,True
"F",48,"Cal Hi Date","hicaldate","date","",70,True
"F",49,"Cal Lo Date","localdate","date","",70,True
"N",1,"N","n","string","",,False
"N",2,"Source","source","string","",47,True
"N",3,"ID","storyid","integer","",,False
"N",4,"Symbols","symbols","string",":sym::sym:",137,True
"N",5,"DateStamp","datestamp","string","YYYYMMDD HHMMSS",,False
"N",6,"Headline","headline","string","",547,True
"P",1,"P","P","string","The character P",,False
"P",2,"Symbol","symbol","string","",,True
"P",3,"Exchange ID","exchangeid","string","see exchange codes",,True
"P",4,"Last","last","float","",,True
"P",5,"Change","change","float","",,True
"P",6,"Percent Change","pcntchng","float","",,True
"P",7,"Total Volume","totvol","integer","",,True
"P",8,"Last Size","lastsize","integer","",,True
"P",9,"High","high","float","",,True
"P",10,"Low","low","float","",,True
"P",11,"Bid","bid","float","",,True
"P",12,"Ask","ask","float","",,True
"P",13,"Bid Size","bidsize","integer","",,True
"P",14,"Ask Size","asksize","integer","",,True
"P",15,"Tick","tick","integer","""173""=Up, ""175""=Down, ""183""=No Change
",,True
"P",16,"Bid Tick","bidtick","integer","""173""=Up, ""175""=Down; NASDAQ Only
",,True
"P",17,"Range","range","float","",,True
"P",18,"Time","time","HH:MMc","t, T, b, a, o",,True
"P",19,"Open Int","openint","integer","Futures only",,True
"P",20,"Open","open","float","",,True
"P",21,"Close","close","float","",,True
"P",22,"Spread","spread","float","",,True
"P",23,"Strike","strike","float","options only",,True
"P",24,"Settle","settle","float","options/comm only",,True
"P",25,"Delay","delay","integer","num minutes delayed",,True
"P",26,"Market Center","mktcenter","integer","see Market Center Codes",,True
"P",27,"Restricted Code","rstrcdcode","string","'N' or 'R'",,False
"P",28,"Net Asset Value","nav","float","Mutual Funds Only",,True
"P",29,"Average Maturity","avemat","float","",,True
"P",30,"7 Day Yield","yld7day","float","OTC & BB only",,True
"P",31,"Last Trade Date","lasttrddt","date","",,True
"P",32,"Reserved","",">","",,False
"P",33,"Ext. Trade Last","exttrdlst","float","pre/post market trades",,True
"P",34,"Expiration Date","expiredt","date","futures & options",,True
"P",35,"Regional Volume","rgnlvol","integer","",,True
"P",36,"Net Asset Value","nav2","float","",,True
"P",37,"Ex. Trade Change","exttrdchng","float","pre/post market change",,True
"P",38,"Ex. Trade Dif","exttrddif","float","pre/post market",,True
